system:index,NDVI_count,NDVI_mean,.geo
LT05_033036_19950707,3562,0.14776639179293544,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19950723,3562,0.14934276376867495,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19950808,3562,0.14229245253003114,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19950824,3562,0.1871497421173427,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19950925,3562,0.15142633859994412,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19951011,3562,0.14297226813984032,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19951214,3562,0.13062198680101123,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19951230,0,,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960131,0,,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960216,1675,0.09423754574114732,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960319,3562,0.1140368059168274,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960404,0,,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960506,3562,0.11521628883982794,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960522,3562,0.11368413886422206,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960607,3562,0.11859789108617934,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960623,3562,0.11892388538948358,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960709,3555,0.14592387923010383,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960725,3562,0.22903404557588983,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
LT05_033036_19960810,286,0.1956072678537069,"{""type"":""Polygon"",""coordinates"":[[[-106.72100000000002,34.34499886595148],[-106.72404423936683,34.34464067342046],[-106.72684608435834,34.34359461671181],[-106.72918245795839,34.341943985481535],[-106.73086737309525,34.339820200950015],[-106.73176674086808,34.337392345103524],[-106.73180903454254,34.334853692799456],[-106.73099096342844,34.33240632161912],[-106.72937771113686,34.330245026228525],[-106.72709772664203,34.32854181774376],[-106.72433248911564,34.327432240382635],[-106.7213020645617,34.3270045918711],[-106.7182476031967,34.32729290262708],[-106.71541216621931,34.328274230183865],[-106.71302140119752,34.329870483205674],[-106.71126559712457,34.33195463059088],[-106.71028454238291,34.33436080359004],[-106.71015638936854,34.33689748979014],[-106.7108914147092,34.339362771584376],[-106.71243117763933,34.34156039799375],[-106.71465315089051,34.34331541078192],[-106.71738046203544,34.34448807961087],[-106.72039597357285,34.34498503435276],[-106.72100000000002,34.34499886595148]]]}"
